record_name,status,metric,value,notes
Outside Review Manual Report Generation,pass,manual_generation,1,Generated in-process to avoid subprocess startup artifacts.
Outside Review Manual Report Generation,pass,version_expected,0.9.2,Generated in-process to avoid subprocess startup artifacts.
